JobID	Title	Description	Requirements	Des	Cluster	Industry
2435	Test Technician	  Testing, calibration, troubleshooting and repairing of analog and digital electronic equipment.  Balancing priorities between production and repairs test requirements in accordance with customer needs.  Electronic recording of Functional Data during the various testing phases.  Assist in training other technicians during product introduction.  Work directly with engineering and recommend changes to ATP’s and test methods on new and existing products.  Evaluation and repair of customer returned product.  Assist in developing ATP’s, Test Fixtures, and test loads.  Provide assistance in the Failure Analysis process by determining Root Causes and suggesting Corrective Actions for defective product and/or customer returns.  Perform Final Assembly/Inspection functions as required for members of the Self Directed Team. 	  High School graduate or equivalent and AAS degree or above in Electrical Technology/ Engineering.  Minimum of 6 years experience in testing electronic assemblies or sub-assemblies in a manufacturing environment and a minimum of 4 years experience in High voltage or CT/X-ray testing.  Experience in basic soldering of electronic components and knowledge of wiring and electro-mechanical assemblies with varying degrees of complexity.  Ability to work from written test procedures (ATP’s) and be able to read schematics and assembly drawings.  Solid communicational and organizational skills.  Ability to lift up to approximately 50 lbs. 	Test Technician  Testing, calibration, troubleshooting and repairing of analog and digital electronic equipment.  Balancing priorities between production and repairs test requirements in accordance with customer needs.  Electronic recording of Functional Data during the various testing phases.  Assist in training other technicians during product introduction.  Work directly with engineering and recommend changes to ATP’s and test methods on new and existing products.  Evaluation and repair of customer returned product.  Assist in developing ATP’s, Test Fixtures, and test loads.  Provide assistance in the Failure Analysis process by determining Root Causes and suggesting Corrective Actions for defective product and/or customer returns.  Perform Final Assembly/Inspection functions as required for members of the Self Directed Team.   High School graduate or equivalent and AAS degree or above in Electrical Technology/ Engineering.  Minimum of 6 years experience in testing electronic assemblies or sub-assemblies in a manufacturing environment and a minimum of 4 years experience in High voltage or CT/X-ray testing.  Experience in basic soldering of electronic components and knowledge of wiring and electro-mechanical assemblies with varying degrees of complexity.  Ability to work from written test procedures (ATP’s) and be able to read schematics and assembly drawings.  Solid communicational and organizational skills.  Ability to lift up to approximately 50 lbs. 	5	Technology & Engineering
10962	Maintenance Technician for Senior Apt Community	Beautiful Senior Apartment Community seeks experienced MAINTENANCE TECHNICIAN!  Lewis Apartment Communities, a division of one of the largest privately owned Real Estate developers and property managers in the nation, currently seeks an experienced Maintenance Technician for one of its beautiful, Lewis-owned apartment communities located in Covina, CA.   Please note: This position requires previous residential maintenance experience. Candidates without such experience may not be considered. Living on-site or within 25 mins of the community is also required.   The right candidate would have solid skills in all aspects of general apartment maintenance including:     Strong all-around maintenance skills in the apartment/residential industry   Experience in carpentry, electrical, HVAC, plumbing, painting, and appliance (dishwashers, stoves, etc) installation and repair   Making units ready for new occupancy   Interaction with community manager and staff   Maintaining units of current residents   Managing/working with outside vendors   Maintaining the leasing office and all parking lots & recreation-area facilities   Requires reliable transportation & valid drivers license   Working weekends may be required    This is a great opportunity to join a growing, award-winning leader in apartment development and property management. Join Lewis Apartment Communities and you will be part of a stable, growing team with a long history of successful apartment development and management. This culture of both excellence and camaraderie is what makes Lewis a wonderful place to grow your career.   In addition to a competitive hourly salary and an onsite apartment, Lewis offers full medical and dental benefits, 401k savings plan with company match, apartment discounts, paid holidays, vacation time, bonus eligibility, educational reimbursement, continued training, advancement opportunities and much more! Visit  for more info!   To Apply:  Email: david.draper  Fax: (909) 931-5577  Web:    Lewis Apartment Communities is an equal opportunity employer	Previous residential maintenance experience required.. Valid drivers license is also required.	Maintenance Technician for Senior Apt CommunityBeautiful Senior Apartment Community seeks experienced MAINTENANCE TECHNICIAN!  Lewis Apartment Communities, a division of one of the largest privately owned Real Estate developers and property managers in the nation, currently seeks an experienced Maintenance Technician for one of its beautiful, Lewis-owned apartment communities located in Covina, CA.   Please note: This position requires previous residential maintenance experience. Candidates without such experience may not be considered. Living on-site or within 25 mins of the community is also required.   The right candidate would have solid skills in all aspects of general apartment maintenance including:     Strong all-around maintenance skills in the apartment/residential industry   Experience in carpentry, electrical, HVAC, plumbing, painting, and appliance (dishwashers, stoves, etc) installation and repair   Making units ready for new occupancy   Interaction with community manager and staff   Maintaining units of current residents   Managing/working with outside vendors   Maintaining the leasing office and all parking lots & recreation-area facilities   Requires reliable transportation & valid drivers license   Working weekends may be required    This is a great opportunity to join a growing, award-winning leader in apartment development and property management. Join Lewis Apartment Communities and you will be part of a stable, growing team with a long history of successful apartment development and management. This culture of both excellence and camaraderie is what makes Lewis a wonderful place to grow your career.   In addition to a competitive hourly salary and an onsite apartment, Lewis offers full medical and dental benefits, 401k savings plan with company match, apartment discounts, paid holidays, vacation time, bonus eligibility, educational reimbursement, continued training, advancement opportunities and much more! Visit  for more info!   To Apply:  Email: david.draper  Fax: (909) 931-5577  Web:    Lewis Apartment Communities is an equal opportunity employerPrevious residential maintenance experience required.. Valid drivers license is also required.	4	Technology & Engineering
11573	Patient Services Representative	Patient Service Reps – Medical billing company for Emergency Department Physicians has F/T positions for experienced Representatives capable of managing calls from Patients, insurance representatives and attorneys. A thorough knowledge of HMO, PPO, Medicare, Medi-Cal & Work Comp insurances is required. Strong communication and problem solving skills are needed.	Qualified candidates must have minimum of 2 years experience in insurance billing. Proven experience in a high volume call center is a plus.   Positions are F/T, 8:30am to 5:15 pm M-F with full benefit package including medical, dental, vision, life & 401k at the corporate office located in Arcadia, California(east of Santa Anita Race Track).Qualified candidates reply by e-mail or fax/mail to:  Human Resources  Emergency Groups Office  444 E. Huntington Dr. #300  Arcadia,Ca 91006  Fax (626)447-7319	Patient Services RepresentativePatient Service Reps – Medical billing company for Emergency Department Physicians has F/T positions for experienced Representatives capable of managing calls from Patients, insurance representatives and attorneys. A thorough knowledge of HMO, PPO, Medicare, Medi-Cal & Work Comp insurances is required. Strong communication and problem solving skills are needed.Qualified candidates must have minimum of 2 years experience in insurance billing. Proven experience in a high volume call center is a plus.   Positions are F/T, 8:30am to 5:15 pm M-F with full benefit package including medical, dental, vision, life & 401k at the corporate office located in Arcadia, California(east of Santa Anita Race Track).Qualified candidates reply by e-mail or fax/mail to:  Human Resources  Emergency Groups Office  444 E. Huntington Dr. #300  Arcadia,Ca 91006  Fax (626)447-7319	1	Healthcare & Medical
13888	Housekeepers	HOUSEKEEPERS Day Shift  - Elcor Nursing and Rehabilitation Center is currently recruiting for part time and on call employees to work in our Housekeeping and Laundry Departments.  - Duties would include laundry, cleaning residents' rooms and offices on a daily basis.  - Hours are from 6:30 a.m. to 3:00 p.m. and would include every other weekend.  - Elcor offers an excellent hourly rate of pay which includes a weekend differential. Interested candidates may apply any day from 8:00 a.m. to 7:00 p.m. at the Maple Creek Reception Desk.  - EOE  - Elcor Nursing and Rehabilitation Center  48 Colonial Drive Horseheads, NY 14845 - Visit us at:  email: mcollins	See job description for requirements.	HousekeepersHOUSEKEEPERS Day Shift  - Elcor Nursing and Rehabilitation Center is currently recruiting for part time and on call employees to work in our Housekeeping and Laundry Departments.  - Duties would include laundry, cleaning residents' rooms and offices on a daily basis.  - Hours are from 6:30 a.m. to 3:00 p.m. and would include every other weekend.  - Elcor offers an excellent hourly rate of pay which includes a weekend differential. Interested candidates may apply any day from 8:00 a.m. to 7:00 p.m. at the Maple Creek Reception Desk.  - EOE  - Elcor Nursing and Rehabilitation Center  48 Colonial Drive Horseheads, NY 14845 - Visit us at:  email: mcollinsSee job description for requirements.	9	Healthcare & Medical
24518	Recruiter / Sourcer	  As one of the top agencies in the tri-state area handling staffing needs on a full time and contract basis, Kopos and Baker, Inc. is expanding again. K&B is looking for a sharp entry level or experienced agency recruiters working a full cycle IT or Technical Desks . Will work in a comfortable, flexible environment with a great team of seasoned recruiters and have the potential for a rewarding career track.    Requirements: A Solid Track Record  Strong Computer Skills Strong knowledge of MS Office applications Excellent verbal, written and phone skills (must not be intimidated to make calls and converse) Social Networking ability (a plus) Ability to work independently and as a team player Good work ethics  Four year degree (a plus, but not required)  This position is located in our Blue Bell Pa office.  Reliable transportation a must.     For Immediate consideration send your resume/CV in a Word doc to mbaker .    K&B Inc is an EEO employer   	  Experience: Fresh Grad,hungry to earn money!!!!!! or 2+ current years at an agency making money but wants to EARN more!  Information technology or Technical Desk Running a full cycle desk (will train) Four year Degree a plus Excellent verbal and written skills MS Office and ATS exp.  Reliable transportation	Recruiter / Sourcer  As one of the top agencies in the tri-state area handling staffing needs on a full time and contract basis, Kopos and Baker, Inc. is expanding again. K&B is looking for a sharp entry level or experienced agency recruiters working a full cycle IT or Technical Desks . Will work in a comfortable, flexible environment with a great team of seasoned recruiters and have the potential for a rewarding career track.    Requirements: A Solid Track Record  Strong Computer Skills Strong knowledge of MS Office applications Excellent verbal, written and phone skills (must not be intimidated to make calls and converse) Social Networking ability (a plus) Ability to work independently and as a team player Good work ethics  Four year degree (a plus, but not required)  This position is located in our Blue Bell Pa office.  Reliable transportation a must.     For Immediate consideration send your resume/CV in a Word doc to mbaker .    K&B Inc is an EEO employer     Experience: Fresh Grad,hungry to earn money!!!!!! or 2+ current years at an agency making money but wants to EARN more!  Information technology or Technical Desk Running a full cycle desk (will train) Four year Degree a plus Excellent verbal and written skills MS Office and ATS exp.  Reliable transportation	9	Administrative & Office Support
164771	3 Electrical Techs & 1 Electronics Tech	"As the contracted staffing company for DFW Intl Airport, we are interviewing now for multiple qualified personnel in two essential positions that pay $16.25 per hour  1. ELECTRONICS TECHNICIAN You will perform technical electrical and electronics work associated with installation, monitoring, troubleshooting, maintenance and repair of:   Central Fire Alarm system  AACS, CCTV and UPS support electronics systems  Fire, Security, and communication (FSC) systems, including upgrades using a laptop  Electronics FSC components and performing necessary replacement/repair  ""Key gates"" and ""intellikey"" ingress/egress systems   . 2. ELECTRICAL TECHNICIAN You will repair, replace and service electrical systems and equipment. Principal duties include: Inspecting, servicing and repairing illuminated signs and roadway/parking area lighting (including 60-100' light poles) as well as traffic signals and runway lights  Both positions are anticipated to be extended beyond the 90 day initial contract period based on candidate skills and demand.."	The successful candidates will:    Proficiently use the tools, materials and equipment of the trade, including a laptop computer  Skillfully read appropriate manuals, blueprints and tech manuals  Pass a color vision deficiency test and physical exam  Have a high school diploma or equivalent  Pass a thorough TSA background check (no felonies!)  Pass a pre-employment and subsequent random drug screen(s)  Have three years previous experience relevant to the position  Possess experience operating relevant manual and powered equipment  Be able to stand or extended periods, frequently lifting 50# and occasionally exerting up to 100# of force  Effectively communicate face-to-face and via radio/telephone in English    If you want to support an experienced team and provide a valuable service ensuring the safety and comfort of thousands of guests each day, we want to hear from you! Submit your resume with a focus on your experience.	"3 Electrical Techs & 1 Electronics TechAs the contracted staffing company for DFW Intl Airport, we are interviewing now for multiple qualified personnel in two essential positions that pay $16.25 per hour  1. ELECTRONICS TECHNICIAN You will perform technical electrical and electronics work associated with installation, monitoring, troubleshooting, maintenance and repair of:   Central Fire Alarm system  AACS, CCTV and UPS support electronics systems  Fire, Security, and communication (FSC) systems, including upgrades using a laptop  Electronics FSC components and performing necessary replacement/repair  ""Key gates"" and ""intellikey"" ingress/egress systems   . 2. ELECTRICAL TECHNICIAN You will repair, replace and service electrical systems and equipment. Principal duties include: Inspecting, servicing and repairing illuminated signs and roadway/parking area lighting (including 60-100' light poles) as well as traffic signals and runway lights  Both positions are anticipated to be extended beyond the 90 day initial contract period based on candidate skills and demand..The successful candidates will:    Proficiently use the tools, materials and equipment of the trade, including a laptop computer  Skillfully read appropriate manuals, blueprints and tech manuals  Pass a color vision deficiency test and physical exam  Have a high school diploma or equivalent  Pass a thorough TSA background check (no felonies!)  Pass a pre-employment and subsequent random drug screen(s)  Have three years previous experience relevant to the position  Possess experience operating relevant manual and powered equipment  Be able to stand or extended periods, frequently lifting 50# and occasionally exerting up to 100# of force  Effectively communicate face-to-face and via radio/telephone in English    If you want to support an experienced team and provide a valuable service ensuring the safety and comfort of thousands of guests each day, we want to hear from you! Submit your resume with a focus on your experience."	4	Technology & Engineering
184333	General Maintenance Worker	Nationwide Federal Government Contractor seeks experienced General Maintenance Worker for a Federal facility in downtown Phoenix, AZ.   Position requires a minimum of four years experience as a general maintenance worker including painting, plumbing and general repair and maintenance work.   Ability to communicate effectively with customers and work independently is required.    This full-time position offers an excellent compensation and benefits package.   The ability to obtain and maintain a Federal Government Security Clearance and pass a urine and hair narcotics screening is required.   EOE M/F/D/V Drug Free Workplace  	Nationwide Federal Government Contractor seeks experienced General Maintenance Worker for a Federal facility in downtown Phoenix, AZ.   Position requires a minimum of four years experience as a general maintenance worker including painting, plumbing and general repair and maintenance work.   Ability to communicate effectively with customers and work independently is required.    This full-time position offers an excellent compensation and benefits package.   The ability to obtain and maintain a Federal Government Security Clearance and pass a urine and hair narcotics screening is required.   EOE M/F/D/V Drug Free Workplace  	General Maintenance WorkerNationwide Federal Government Contractor seeks experienced General Maintenance Worker for a Federal facility in downtown Phoenix, AZ.   Position requires a minimum of four years experience as a general maintenance worker including painting, plumbing and general repair and maintenance work.   Ability to communicate effectively with customers and work independently is required.    This full-time position offers an excellent compensation and benefits package.   The ability to obtain and maintain a Federal Government Security Clearance and pass a urine and hair narcotics screening is required.   EOE M/F/D/V Drug Free Workplace  Nationwide Federal Government Contractor seeks experienced General Maintenance Worker for a Federal facility in downtown Phoenix, AZ.   Position requires a minimum of four years experience as a general maintenance worker including painting, plumbing and general repair and maintenance work.   Ability to communicate effectively with customers and work independently is required.    This full-time position offers an excellent compensation and benefits package.   The ability to obtain and maintain a Federal Government Security Clearance and pass a urine and hair narcotics screening is required.   EOE M/F/D/V Drug Free Workplace  	4	Technology & Engineering
224102	Call Center Representative	DirectBuy, the #1 way to buy direct for your home, is a rapidly expanding network of over 130 franchised showrooms and design centers all across North America. Our members are able to purchase nearly everything for in and around their homes, directly from several hundred manufacturers and their authorized suppliers. DirectBuy enables its members to avoid traditional markup and purchase an unprecedented selection of quality merchandise at unparalled prices at our exclusive members-only showrooms. DirectBuy of Greater Cincinnati is located in West Chester, OH. We are seeking enthusiastic, self-motivated, well-spoken individuals to work in our call center.   The Call Center Representative will be responsible for contacting leads from several sources to verify information and offer them the opportunity to learn more about our service.	  Excellent interpersonal and communication skills.  Must be enthusiastic energetic and have excellant communication skills with a clear friendly phone voice.  Confident, with a strong drive for continuous improvement and to meet goals.  Must have neat professional business appearance.  Must be a team player and have the ability to build relationships with clients and staff.  Excellant wotk ethic and work history.  Computer literate.  Must be reliable and have high personal integrity.  Must be at least 18 years of age and some college.   Work Schedule Mon - Thurs till 9pm , start time varies, and avaibility to work some weekends. 	Call Center RepresentativeDirectBuy, the #1 way to buy direct for your home, is a rapidly expanding network of over 130 franchised showrooms and design centers all across North America. Our members are able to purchase nearly everything for in and around their homes, directly from several hundred manufacturers and their authorized suppliers. DirectBuy enables its members to avoid traditional markup and purchase an unprecedented selection of quality merchandise at unparalled prices at our exclusive members-only showrooms. DirectBuy of Greater Cincinnati is located in West Chester, OH. We are seeking enthusiastic, self-motivated, well-spoken individuals to work in our call center.   The Call Center Representative will be responsible for contacting leads from several sources to verify information and offer them the opportunity to learn more about our service.  Excellent interpersonal and communication skills.  Must be enthusiastic energetic and have excellant communication skills with a clear friendly phone voice.  Confident, with a strong drive for continuous improvement and to meet goals.  Must have neat professional business appearance.  Must be a team player and have the ability to build relationships with clients and staff.  Excellant wotk ethic and work history.  Computer literate.  Must be reliable and have high personal integrity.  Must be at least 18 years of age and some college.   Work Schedule Mon - Thurs till 9pm , start time varies, and avaibility to work some weekends. 	9	Retail & Customer Support
225505	Executive Assistant Needed for Communications Company	Major Media/Communications Firm located downtown seeks an Executive Assistant to support the CEO and CMO for an immediate temp to perm position.   Responsibilities include: -Providing overall administrative support to the two Executives -Heavy calendar management -Coordination of travel arrangements -Processing expense reports -Other projects as assigned.   All candidates should have at least 3 -5 years experience working as an Executive Assistant. Strong skills in MS Office and excellent communication skills are necessary.  Bachelor's Degree required.   Please submit your resume as a Word document for immediate consideration.  	Please submit your resume as a Word document for immediate interviews.	Executive Assistant Needed for Communications CompanyMajor Media/Communications Firm located downtown seeks an Executive Assistant to support the CEO and CMO for an immediate temp to perm position.   Responsibilities include: -Providing overall administrative support to the two Executives -Heavy calendar management -Coordination of travel arrangements -Processing expense reports -Other projects as assigned.   All candidates should have at least 3 -5 years experience working as an Executive Assistant. Strong skills in MS Office and excellent communication skills are necessary.  Bachelor's Degree required.   Please submit your resume as a Word document for immediate consideration.  Please submit your resume as a Word document for immediate interviews.	3	Administrative & Office Support
239630	DATA ENTRY/INVOICE ENTRY	Our company is seeking an individual with strong data entry skills to perform a variety of analytical data entry/auditing functions. The candidate will be responsible for, but not limited to: auditing and entering invoices in a timely manner, invoice coding, communicating with location managers and vendors to verify invoices. Candidate must have the ability to multi-task and work in a fast paced environment and have the ability to deal with employees in all departments within the organization.   We offer: 4 DAY WORKWEEK (MON-THURS)! HEALTH INSURANCE PROGRAM! 401(k) PROGRAM!	Candidate should be self motivated and extremely thorough, should have a high school diploma or equivalent, as well as a minimum of 2 years experience in data entry and auditing functions. All candidates should have solid Excel ability, and have good computer skills, with accounting background preferred. Selected candidate must be flexible, adaptable, and able to function effectively under pressure.	DATA ENTRY/INVOICE ENTRYOur company is seeking an individual with strong data entry skills to perform a variety of analytical data entry/auditing functions. The candidate will be responsible for, but not limited to: auditing and entering invoices in a timely manner, invoice coding, communicating with location managers and vendors to verify invoices. Candidate must have the ability to multi-task and work in a fast paced environment and have the ability to deal with employees in all departments within the organization.   We offer: 4 DAY WORKWEEK (MON-THURS)! HEALTH INSURANCE PROGRAM! 401(k) PROGRAM!Candidate should be self motivated and extremely thorough, should have a high school diploma or equivalent, as well as a minimum of 2 years experience in data entry and auditing functions. All candidates should have solid Excel ability, and have good computer skills, with accounting background preferred. Selected candidate must be flexible, adaptable, and able to function effectively under pressure.	9	Administrative & Office Support
