UserID	DegreeType	Major	GraduationDate	WorkHistoryCount	TotalYearsExperience	JobTitle	Des	Cluster	Industry
6524	Bachelor's	Computer Science		7	8.0	MS SQL Server  /SSRS/SSIS Developer, MS SQL Server / SSIS /SSRS / SSAS Developer, MS SQL Server / SSIS / SSRS/ SSAS Developer, MS SQL Server / SSIS/ SSRS/ SSAS Developer, MS SQL Server / DTS / Developer, MS SQL Server Developer, MS SQL Server Developer	Computer Science MS SQL Server  /SSRS/SSIS Developer, MS SQL Server / SSIS /SSRS / SSAS Developer, MS SQL Server / SSIS / SSRS/ SSAS Developer, MS SQL Server / SSIS/ SSRS/ SSAS Developer, MS SQL Server / DTS / Developer, MS SQL Server Developer, MS SQL Server Developer	8	Technology & Engineering
220314		Real Estate Salesperson	2011-12-01	6	7.0	Mortgage Loan Adjuster, Credit Loan Adjuster, Assisted property manager, Credit Loan Adjuster, Credit Loan Adjuster/ Customer Service	Real Estate Salesperson Mortgage Loan Adjuster, Credit Loan Adjuster, Assisted property manager, Credit Loan Adjuster, Credit Loan Adjuster/ Customer Service	0	Finance & Accounting & Business
288544	Master's	Not available	2008-01-01	4	8.0	Business Analyst, NACI Investigation and Public Trust, Inactive Top, Intern, Top Secret Clearance w/poly, Intern-SAMHSA, CMHS, Intern-SAMHSA, CSAP	Business Analyst, NACI Investigation and Public Trust, Inactive Top, Intern, Top Secret Clearance w/poly, Intern-SAMHSA, CMHS, Intern-SAMHSA, CSAP	0	Finance & Accounting & Business
294651	High School	Not available	1984-01-01	7	28.0	Composite Technician, Plumbing and Heating Technician, Plumbing Service Technician, Mail Machine Service Technician, Machinist - Class, Skid Loader Operator, Skilled Labor	Composite Technician, Plumbing and Heating Technician, Plumbing Service Technician, Mail Machine Service Technician, Machinist - Class, Skid Loader Operator, Skilled Labor	2	Technology & Engineering
381518		Certified Nursing Program		3	3.0	CNA-Trainee-clinicals, Volunteer-Activity Assistant, Sales Representative	Certified Nursing Program CNA-Trainee-clinicals, Volunteer-Activity Assistant, Sales Representative	0	Healthcare & Medical
411929	Associate's	Avionic Systems	2005-05-01	3	6.0	Integrated Avionic System Technician, Commercial/Residential Electrician, Electrician	Avionic Systems Integrated Avionic System Technician, Commercial/Residential Electrician, Electrician	0	Technology & Engineering
453857	Bachelor's	Family, Youth, &Community Sciences	2005-12-01	10	12.0	Dependency Case Manager, Customer Service  Representative, Package Handler, Department of Juvenile Justice, Volunteer Mentor Program, Internship, Clerk, Financial Aide Secretary, Childcare Specialist, Data Entry Clerk	Family, Youth, &Community Sciences Dependency Case Manager, Customer Service  Representative, Package Handler, Department of Juvenile Justice, Volunteer Mentor Program, Internship, Clerk, Financial Aide Secretary, Childcare Specialist, Data Entry Clerk	0	Education & Social Sciences
492924		Education		1	0.0	Receptionist	Education Receptionist	0	Education & Social Sciences
527890	High School	Not available	2003-01-01	3	4.0	Veterinary Assistant, Cashier, Animal caretaker	Veterinary Assistant, Cashier, Animal caretaker	2	Healthcare & Medical
565602		Computer/Information Technology Services Administration andManagement, Other	2012-01-01	2	13.0	Legal Assistant/ Collections Specialist, ROI TEch	Computer/Information Technology Services Administration andManagement, Other Legal Assistant/ Collections Specialist, ROI TEch	0	Administrative & Office Support
